Class ID,class,order,family,genus,species,image count
0,Insecta,Hemiptera,Acanaloniidae,Acanalonia,conica,3687
1,Insecta,Hemiptera,Acanaloniidae,Acanalonia,bivittata,1099
2,Insecta,Hemiptera,Acanthosomatidae,Acanthosoma,haemorrhoidale,2254
3,Insecta,Hemiptera,Acanthosomatidae,Elasmostethus,cruciatus,877
4,Insecta,Hemiptera,Acanthosomatidae,Elasmostethus,interstinctus,945
5,Insecta,Hemiptera,Acanthosomatidae,Elasmucha,grisea,1490
6,Insecta,Orthoptera,Acrididae,Abracris,flavolineata,1393
7,Insecta,Orthoptera,Acrididae,Acanthacris,ruficornis,608
8,Insecta,Orthoptera,Acrididae,Acrida,conica,779
9,Insecta,Orthoptera,Acrididae,Acrida,ungarica,803
10,Insecta,Orthoptera,Acrididae,Acrida,cinerea,524
11,Insecta,Orthoptera,Acrididae,Aidemona,azteca,1237
12,Insecta,Orthoptera,Acrididae,Aiolopus,strepens,1330
13,Insecta,Orthoptera,Acrididae,Anacridium,aegyptium,4689
14,Insecta,Orthoptera,Acrididae,Camnula,pellucida,883
15,Insecta,Orthoptera,Acrididae,Chimarocephala,pacifica,652
16,Insecta,Orthoptera,Acrididae,Chorthippus,brunneus,3236
17,Insecta,Orthoptera,Acrididae,Chortophaga,viridifasciata,5448
18,Insecta,Orthoptera,Acrididae,Chortophaga,australior,547
19,Insecta,Orthoptera,Acrididae,Chrysochraon,dispar,852
20,Insecta,Orthoptera,Acrididae,Dactylotum,bicolor,1024
21,Insecta,Orthoptera,Acrididae,Dichromorpha,viridis,1836
22,Insecta,Orthoptera,Acrididae,Dissosteira,carolina,6527
23,Insecta,Orthoptera,Acrididae,Euthystira,brachyptera,892
24,Insecta,Orthoptera,Acrididae,Gomphocerippus,rufus,1257
25,Insecta,Orthoptera,Acrididae,Hesperotettix,viridis,470
26,Insecta,Orthoptera,Acrididae,Leptysma,marginicollis,464
27,Insecta,Orthoptera,Acrididae,Locusta,migratoria,1166
28,Insecta,Orthoptera,Acrididae,Melanoplus,bivittatus,6959
29,Insecta,Orthoptera,Acrididae,Melanoplus,differentialis,11629
30,Insecta,Orthoptera,Acrididae,Melanoplus,punctulatus,3308
31,Insecta,Orthoptera,Acrididae,Melanoplus,femurrubrum,2548
32,Insecta,Orthoptera,Acrididae,Mermiria,bivittata,840
33,Insecta,Orthoptera,Acrididae,Oedipoda,caerulescens,4120
34,Insecta,Orthoptera,Acrididae,Omocestus,rufipes,875
35,Insecta,Orthoptera,Acrididae,Omocestus,viridulus,1469
36,Insecta,Orthoptera,Acrididae,Pezotettix,giornae,1389
37,Insecta,Orthoptera,Acrididae,Phaulacridium,marginale,599
38,Insecta,Orthoptera,Acrididae,Phaulacridium,vittatum,624
39,Insecta,Orthoptera,Acrididae,Pseudochorthippus,parallelus,4502
40,Insecta,Orthoptera,Acrididae,Pseudochorthippus,curtipennis,588
41,Insecta,Orthoptera,Acrididae,Schistocerca,lineata,1167
42,Insecta,Orthoptera,Acrididae,Schistocerca,nitens,8824
43,Insecta,Orthoptera,Acrididae,Schistocerca,americana,4343
44,Insecta,Orthoptera,Acrididae,Schistocerca,obscura,3868
45,Insecta,Orthoptera,Acrididae,Stethophyma,grossum,1048
46,Insecta,Orthoptera,Acrididae,Syrbula,admirabilis,1468
47,Insecta,Orthoptera,Acrididae,Trimerotropis,verruculata,605
48,Insecta,Orthoptera,Acrididae,Trimerotropis,maritima,738
49,Insecta,Orthoptera,Acrididae,Trimerotropis,pallidipennis,3105
50,Insecta,Orthoptera,Acrididae,Valanga,nigricornis,668
51,Insecta,Orthoptera,Acrididae,Valanga,irregularis,1372
52,Insecta,Orthoptera,Acrididae,Xenocatantops,humilis,607
53,Insecta,Hemiptera,Adelgidae,Adelges,tsugae,1659
54,Insecta,Lepidoptera,Adelidae,Adela,reaumurella,1143
55,Insecta,Lepidoptera,Adelidae,Nemophora,degeerella,567
56,Insecta,Odonata,Aeshnidae,Adversaeschna,brevistyla,1268
57,Insecta,Odonata,Aeshnidae,Aeshna,tuberculifera,1379
58,Insecta,Odonata,Aeshnidae,Aeshna,cyanea,4734
59,Insecta,Odonata,Aeshnidae,Aeshna,canadensis,2988
60,Insecta,Odonata,Aeshnidae,Aeshna,interrupta,2325
61,Insecta,Odonata,Aeshnidae,Aeshna,mixta,2432
62,Insecta,Odonata,Aeshnidae,Aeshna,palmata,1812
63,Insecta,Odonata,Aeshnidae,Aeshna,constricta,1319
64,Insecta,Odonata,Aeshnidae,Aeshna,eremita,1592
65,Insecta,Odonata,Aeshnidae,Aeshna,grandis,1446
66,Insecta,Odonata,Aeshnidae,Aeshna,verticalis,552
67,Insecta,Odonata,Aeshnidae,Aeshna,umbrosa,4500
68,Insecta,Odonata,Aeshnidae,Aeshna,juncea,2253
69,Insecta,Odonata,Aeshnidae,Anax,parthenope,1023
70,Insecta,Odonata,Aeshnidae,Anax,imperator,3252
71,Insecta,Odonata,Aeshnidae,Anax,longipes,950
72,Insecta,Odonata,Aeshnidae,Anax,junius,15025
73,Insecta,Odonata,Aeshnidae,Basiaeschna,janata,1054
74,Insecta,Odonata,Aeshnidae,Boyeria,vinosa,991
75,Insecta,Odonata,Aeshnidae,Epiaeschna,heros,2427
76,Insecta,Odonata,Aeshnidae,Gomphaeschna,furcillata,833
77,Insecta,Odonata,Aeshnidae,Nasiaeschna,pentacantha,796
78,Insecta,Odonata,Aeshnidae,Rhionaeschna,multicolor,3967
79,Insecta,Odonata,Aeshnidae,Rhionaeschna,mutata,473
80,Insecta,Odonata,Aeshnidae,Rhionaeschna,californica,1202
81,Insecta,Hemiptera,Alydidae,Hyalymenus,tarsatus,968
82,Insecta,Hemiptera,Alydidae,Riptortus,pedestris,522
83,Insecta,Mantodea,Amelidae,Ameles,spallanzania,688
84,Insecta,Hymenoptera,Andrenidae,Andrena,fulva,1589
85,Insecta,Hymenoptera,Andrenidae,Andrena,wilkella,1144
86,Insecta,Hymenoptera,Andrenidae,Andrena,cineraria,1583
87,Insecta,Dermaptera,Anisolabididae,Euborellia,annulipes,696
88,Insecta,Orthoptera,Anostostomatidae,Hemideina,crassidens,928
89,Insecta,Orthoptera,Anostostomatidae,Hemideina,thoracica,866
90,Insecta,Lepidoptera,Apatelodidae,Apatelodes,torrefacta,1764
91,Insecta,Hemiptera,Aphalaridae,Glycaspis,brimblecombei,937
92,Insecta,Hemiptera,Aphalaridae,Pachypsylla,celtidismamma,3312
93,Insecta,Hemiptera,Aphalaridae,Pachypsylla,venusta,1950
94,Insecta,Hemiptera,Aphididae,Aphis,nerii,8034
95,Insecta,Hemiptera,Aphididae,Hormaphis,hamamelidis,2125
96,Insecta,Hemiptera,Aphididae,Melaphis,rhois,915
97,Insecta,Hemiptera,Aphididae,Tuberolachnus,salignus,747
98,Insecta,Hemiptera,Aphrophoridae,Philaenus,spumarius,3548
99,Insecta,Hymenoptera,Apidae,Anthophora,californica,1045
100,Insecta,Hymenoptera,Apidae,Anthophora,urbana,1504
101,Insecta,Hymenoptera,Apidae,Apis,dorsata,1376
102,Insecta,Hymenoptera,Apidae,Apis,cerana,2784
103,Insecta,Hymenoptera,Apidae,Apis,mellifera,124995
104,Insecta,Hymenoptera,Apidae,Apis,florea,1025
105,Insecta,Hymenoptera,Apidae,Bombus,auricomus,3802
106,Insecta,Hymenoptera,Apidae,Bombus,vancouverensis,284
107,Insecta,Hymenoptera,Apidae,Bombus,rufocinctus,5064
108,Insecta,Hymenoptera,Apidae,Bombus,lapidarius,5282
109,Insecta,Hymenoptera,Apidae,Bombus,flavifrons,2055
110,Insecta,Hymenoptera,Apidae,Bombus,impatiens,75225
111,Insecta,Hymenoptera,Apidae,Bombus,borealis,3337
112,Insecta,Hymenoptera,Apidae,Bombus,griseocollis,32079
113,Insecta,Hymenoptera,Apidae,Bombus,huntii,3021
114,Insecta,Hymenoptera,Apidae,Bombus,terricola,3437
115,Insecta,Hymenoptera,Apidae,Bombus,fervidus,4014
116,Insecta,Hymenoptera,Apidae,Bombus,hypnorum,4477
117,Insecta,Hymenoptera,Apidae,Bombus,vagans,2335
118,Insecta,Hymenoptera,Apidae,Bombus,perplexus,4202
119,Insecta,Hymenoptera,Apidae,Bombus,mixtus,2791
120,Insecta,Hymenoptera,Apidae,Bombus,bimaculatus,14516
121,Insecta,Hymenoptera,Apidae,Bombus,vosnesenskii,8488
122,Insecta,Hymenoptera,Apidae,Bombus,citrinus,2498
123,Insecta,Hymenoptera,Apidae,Bombus,pascuorum,12620
124,Insecta,Hymenoptera,Apidae,Bombus,terrestris,7286
125,Insecta,Hymenoptera,Apidae,Bombus,californicus,2464
126,Insecta,Hymenoptera,Apidae,Bombus,melanopygus,8524
127,Insecta,Hymenoptera,Apidae,Bombus,ternarius,9410
128,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,16785
129,Insecta,Hymenoptera,Apidae,Bombus,pratorum,2787
130,Insecta,Hymenoptera,Apidae,Bombus,sonorus,4194
131,Insecta,Hymenoptera,Apidae,Bombus,nevadensis,1695
132,Insecta,Hymenoptera,Apidae,Melissodes,bimaculatus,5892
133,Insecta,Hymenoptera,Apidae,Tetragonisca,angustula,1120
134,Insecta,Hymenoptera,Apidae,Trigona,fulviventris,1076
135,Insecta,Hymenoptera,Apidae,Xylocopa,violacea,2598
136,Insecta,Hymenoptera,Apidae,Xylocopa,sonorina,5192
137,Insecta,Hymenoptera,Apidae,Xylocopa,micans,3768
138,Insecta,Hymenoptera,Apidae,Xylocopa,virginica,28903
139,Insecta,Hymenoptera,Apidae,Xylocopa,tabaniformis,760
140,Insecta,Hymenoptera,Apidae,Xylocopa,californica,971
141,Insecta,Odonata,Argiolestidae,Austroargiolestes,icteromelas,2676
142,Insecta,Diptera,Asilidae,Dioctria,hyalipennis,2717
143,Insecta,Diptera,Asilidae,Efferia,aestuans,2137
144,Insecta,Diptera,Asilidae,Laphria,macquarti,421
145,Insecta,Diptera,Asilidae,Laphria,thoracica,1330
146,Insecta,Diptera,Asilidae,Mallophora,fautrix,1771
147,Insecta,Diptera,Asilidae,Mallophora,leschenaulti,739
148,Insecta,Diptera,Asilidae,Microstylum,morosum,557
149,Insecta,Diptera,Asilidae,Promachus,rufipes,2158
150,Insecta,Diptera,Asilidae,Promachus,hinei,2256
151,Insecta,Diptera,Asilidae,Triorla,interrupta,915
152,Insecta,Lepidoptera,Attevidae,Atteva,aurea,9924
153,Insecta,Hemiptera,Belostomatidae,Lethocerus,americanus,1403
154,Insecta,Diptera,Bibionidae,Plecia,nearctica,2624
155,Insecta,Blattodea,Blaberidae,Aptera,fusca,714
156,Insecta,Blattodea,Blaberidae,Panchlora,nivea,498
157,Insecta,Blattodea,Blaberidae,Pycnoscelus,surinamensis,1905
158,Insecta,Lepidoptera,Blastobasidae,Blastobasis,glandulella,303
159,Insecta,Blattodea,Blattidae,Blatta,orientalis,1259
160,Insecta,Blattodea,Blattidae,Periplaneta,australasiae,900
161,Insecta,Blattodea,Blattidae,Periplaneta,fuliginosa,1004
162,Insecta,Blattodea,Blattidae,Periplaneta,americana,4879
163,Insecta,Diptera,Bombyliidae,Bombylius,major,6098
164,Insecta,Diptera,Bombyliidae,Poecilanthrax,lucifer,939
165,Insecta,Diptera,Bombyliidae,Xenox,tigrinus,4084
166,Insecta,Hymenoptera,Braconidae,Cotesia,congregata,648
167,Insecta,Coleoptera,Brentidae,Arrhenodes,minutus,773
168,Insecta,Coleoptera,Buprestidae,Agrilus,planipennis,1650
169,Insecta,Coleoptera,Buprestidae,Buprestis,aurulenta,840
170,Insecta,Coleoptera,Buprestidae,Euchroma,giganteum,540
171,Insecta,Diptera,Calliphoridae,Calliphora,vicina,1868
172,Insecta,Diptera,Calliphoridae,Chrysomya,megacephala,748
173,Insecta,Diptera,Calliphoridae,Lucilia,sericata,2852
174,Insecta,Odonata,Calopterygidae,Calopteryx,aequabilis,1076
175,Insecta,Odonata,Calopterygidae,Calopteryx,haemorrhoidalis,1269
176,Insecta,Odonata,Calopterygidae,Calopteryx,splendens,6061
177,Insecta,Odonata,Calopterygidae,Calopteryx,maculata,15785
178,Insecta,Odonata,Calopterygidae,Calopteryx,virgo,4880
